,"Euro Area, FX Spot Rates, Macrobond, EUR per USD","Japan, FX Spot Rates, Macrobond, JPY per USD","United Kingdom, FX Spot Rates, Macrobond, GBP per USD","Switzerland, FX Spot Rates, Macrobond, CHF per USD","Canada, FX Spot Rates, Macrobond, CAD per USD","Australia, FX Spot Rates, Macrobond, AUD per USD","New Zealand, FX Spot Rates, Macrobond, NZD per USD","Norway, FX Spot Rates, Macrobond, NOK per USD","Sweden, FX Spot Rates, Macrobond, SEK per USD","United States, FX Indices, ICE, U.S. Dollar Index, Close"
1951-05-02,,,,,1.05625,,,,,
1951-05-03,,,,,1.058125,,,,,
1951-05-04,,,,,1.060625,,,,,
1951-05-07,,,,,1.06375,,,,,
1951-05-08,,,,,1.0625,,,,,
1951-05-09,,,,,1.06,,,,,
1951-05-10,,,,,1.060312,,,,,
1951-05-11,,,,,1.061875,,,,,
1951-05-14,,,,,1.063438,,,,,
1951-05-15,,,,,1.064375,,,,,
1951-05-16,,,,,1.06375,,,,,
1951-05-17,,,,,1.064375,,,,,
1951-05-18,,,,,1.064688,,,,,
1951-05-21,,,,,1.066875,,,,,
1951-05-22,,,,,1.066563,,,,,
1951-05-23,,,,,1.06625,,,,,
1951-05-24,,,,,1.06625,,,,,
1951-05-25,,,,,1.065,,,,,
1951-05-28,,,,,1.066563,,,,,
1951-05-29,,,,,1.066875,,,,,
1951-05-30,,,,,1.067188,,,,,
1951-05-31,,,,,1.069375,,,,,
1951-06-01,,,,,1.071875,,,,,
1951-06-04,,,,,1.071875,,,,,
1951-06-05,,,,,1.06875,,,,,
1951-06-06,,,,,1.07,,,,,
1951-06-07,,,,,1.069688,,,,,
1951-06-08,,,,,1.070313,,,,,
1951-06-11,,,,,1.071563,,,,,
1951-06-12,,,,,1.0725,,,,,
1951-06-13,,,,,1.071875,,,,,
1951-06-14,,,,,1.071875,,,,,
1951-06-15,,,,,1.069688,,,,,
1951-06-18,,,,,1.07,,,,,
1951-06-19,,,,,1.06875,,,,,
1951-06-20,,,,,1.066563,,,,,
1951-06-21,,,,,1.067188,,,,,
1951-06-22,,,,,1.067813,,,,,
1951-06-25,,,,,1.06875,,,,,
1951-06-26,,,,,1.0675,,,,,
1951-06-27,,,,,1.067188,,,,,
1951-06-28,,,,,1.067188,,,,,
1951-06-29,,,,,1.0675,,,,,
1951-07-02,,,,,1.0675,,,,,
1951-07-03,,,,,1.06625,,,,,
1951-07-04,,,,,1.065938,,,,,
1951-07-05,,,,,1.065,,,,,
1951-07-06,,,,,1.060625,,,,,
1951-07-09,,,,,1.058125,,,,,
1951-07-10,,,,,1.05875,,,,,
1951-07-11,,,,,1.059688,,,,,
1951-07-12,,,,,1.060937,,,,,
1951-07-13,,,,,1.0625,,,,,
1951-07-16,,,,,1.063125,,,,,
1951-07-17,,,,,1.06,,,,,
1951-07-18,,,,,1.059375,,,,,
1951-07-19,,,,,1.058125,,,,,
1951-07-20,,,,,1.058125,,,,,
1951-07-23,,,,,1.059375,,,,,
1951-07-24,,,,,1.059688,,,,,
1951-07-25,,,,,1.059375,,,,,
1951-07-26,,,,,1.059063,,,,,
1951-07-27,,,,,1.057813,,,,,
1951-07-30,,,,,1.056563,,,,,
1951-07-31,,,,,1.055313,,,,,
1951-08-01,,,,,1.054375,,,,,
1951-08-02,,,,,1.054063,,,,,
1951-08-03,,,,,1.051563,,,,,
1951-08-06,,,,,1.052188,,,,,
1951-08-07,,,,,1.052188,,,,,
1951-08-08,,,,,1.051875,,,,,
1951-08-09,,,,,1.051875,,,,,
1951-08-10,,,,,1.054063,,,,,
1951-08-13,,,,,1.055625,,,,,
1951-08-14,,,,,1.055938,,,,,
1951-08-15,,,,,1.055938,,,,,
1951-08-16,,,,,1.05625,,,,,
1951-08-17,,,,,1.055938,,,,,
1951-08-20,,,,,1.05625,,,,,
1951-08-21,,,,,1.056563,,,,,
1951-08-22,,,,,1.057813,,,,,
1951-08-23,,,,,1.05875,,,,,
1951-08-24,,,,,1.057813,,,,,
1951-08-27,,,,,1.057188,,,,,
1951-08-28,,,,,1.059375,,,,,
1951-08-29,,,,,1.058438,,,,,
1951-08-30,,,,,1.05875,,,,,
1951-08-31,,,,,1.05625,,,,,
1951-09-03,,,,,1.05625,,,,,
1951-09-04,,,,,1.056875,,,,,
1951-09-05,,,,,1.056563,,,,,
1951-09-06,,,,,1.056563,,,,,
1951-09-07,,,,,1.05625,,,,,
1951-09-10,,,,,1.05625,,,,,
1951-09-11,,,,,1.05625,,,,,
1951-09-12,,,,,1.056563,,,,,
1951-09-13,,,,,1.056563,,,,,
1951-09-14,,,,,1.05625,,,,,
1951-09-17,,,,,1.053438,,,,,
1951-09-18,,,,,1.054375,,,,,
1951-09-19,,,,,1.055313,,,,,
1951-09-20,,,,,1.057188,,,,,
1951-09-21,,,,,1.056563,,,,,
1951-09-24,,,,,1.055313,,,,,
1951-09-25,,,,,1.054688,,,,,
1951-09-26,,,,,1.055313,,,,,
1951-09-27,,,,,1.054688,,,,,
1951-09-28,,,,,1.054688,,,,,
1951-10-01,,,,,1.054688,,,,,
1951-10-02,,,,,1.054375,,,,,
1951-10-03,,,,,1.054375,,,,,
1951-10-04,,,,,1.054688,,,,,
1951-10-05,,,,,1.054375,,,,,
1951-10-08,,,,,1.054375,,,,,
1951-10-09,,,,,1.053438,,,,,
1951-10-10,,,,,1.052813,,,,,
1951-10-11,,,,,1.0525,,,,,
1951-10-12,,,,,1.0525,,,,,
1951-10-15,,,,,1.0525,,,,,
1951-10-16,,,,,1.0525,,,,,
1951-10-17,,,,,1.051563,,,,,
1951-10-18,,,,,1.050313,,,,,
1951-10-19,,,,,1.048125,,,,,
1951-10-22,,,,,1.04375,,,,,
1951-10-23,,,,,1.046875,,,,,
1951-10-24,,,,,1.050625,,,,,
1951-10-25,,,,,1.049375,,,,,
